"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-57871.6521512298,21407.3883198442,-2.70334948320547,0.00686632850920344
"vacant_ratio",-25.1391046770247,1.13444632702854,-22.1598008456439,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000222201587805673
"review_scores_location",17.7244962169517,1.0968829058953,16.1589684019049,0.000000000000000000000000000000000000000000000000000000000129526723492864
"logbedrooms",57.2966856063771,2.27171503101835,25.2217751012073,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117976272576163
"logbeds",20.6415514151698,2.10199387640406,9.81998646469982,0.0000000000000000000000959648397721844
"logbathrooms",98.6911528604345,1.99416203478312,49.4900369874749,0
"distance_to_tube",-0.000751231393981169,0.000438859426985257,-1.71178137642331,0.0869419796846442
"logaccommodates",42.0841711210844,1.21293517148825,34.6961421437288,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000295622827990876
"logdistancecentre",-37.3756516865141,1.0805401344858,-34.5897856948183,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110087518802932
"excessbeds",-15.9907102352866,1.35064158652459,-11.8393439050202,0.0000000000000000000000000000000264825730379359
"important_words_score",18.2555201718333,0.355611111357104,51.3356292556931,0
"neighbourhood_cleansedBarnet",-5.40319730053162,4.33542793539168,-1.24628926626213,0.212662938336318
"neighbourhood_cleansedBexley",1.20000124368254,6.19996508110835,0.193549677777865,0.846529139971202
"neighbourhood_cleansedBrent",8.89763820243664,4.26178109873575,2.08777457037296,0.0368222566155912
"neighbourhood_cleansedBromley",1.93028564431527,6.66039102106307,0.289815663706659,0.77195823572504
"neighbourhood_cleansedCamden",0.0269467058022801,4.32074829264244,0.00623658310486778,0.995023979003696
"neighbourhood_cleansedCity of London",8.30236221083687,6.10539774474773,1.35983969561674,0.173885615538209
"neighbourhood_cleansedCroydon",-2.92217480107189,5.32021540765331,-0.549258738070689,0.582829883000057
"neighbourhood_cleansedEaling",5.30957726341926,4.37857513892496,1.21262673243124,0.225277196180308
"neighbourhood_cleansedEnfield",-5.20260189769357,5.2462142185801,-0.991686896670733,0.321354165340554
"neighbourhood_cleansedGreenwich",-0.429183568121662,4.61591828833999,-0.092979022008643,0.92592052824323
