"","Estimate","Std. Error","t value","Pr(>|t|)"
"logbathrooms",98.6911528604345,1.99416203478312,49.4900369874749,0
"important_words_score",18.2555201718333,0.355611111357104,51.3356292556931,0
"logaccommodates",42.0841711210844,1.21293517148825,34.6961421437288,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000295622827990876
"logdistancecentre",-37.3756516865141,1.0805401344858,-34.5897856948183,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110087518802932
"logbedrooms",57.2966856063771,2.27171503101835,25.2217751012073,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117976272576163
"vacant_ratio",-25.1391046770247,1.13444632702854,-22.1598008456439,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000222201587805673
"review_scores_location",17.7244962169517,1.0968829058953,16.1589684019049,0.000000000000000000000000000000000000000000000000000000000129526723492864
"neighbourhood_cleansedKensington and Chelsea",52.5593628888489,4.19448113336504,12.5305994276062,0.00000000000000000000000000000000000561609184937834
"excessbeds",-15.9907102352866,1.35064158652459,-11.8393439050202,0.0000000000000000000000000000000264825730379359
"logbeds",20.6415514151698,2.10199387640406,9.81998646469982,0.0000000000000000000000959648397721844
"neighbourhood_cleansedWestminster",39.7218942466156,4.25106507916696,9.3439863909116,0.00000000000000000000957419138768412
"neighbourhood_cleansedRichmond upon Thames",32.2387521673267,4.93925644782059,6.52704562071318,0.0000000000675964547640054
"property_typeShared room in hostel",-240.714500911833,55.5441720285519,-4.33374901669425,0.0000146822330048038
"neighbourhood_cleansedSouthwark",-17.3957995495491,4.35369175990023,-3.99564335485885,0.0000645934743160183
"neighbourhood_cleansedLambeth",-16.9834828836143,4.28523017935144,-3.96326035540633,0.0000740160495268856
"neighbourhood_cleansedWaltham Forest",-17.266971701255,4.55435396988696,-3.79131086767145,0.000149996498400395
"neighbourhood_cleansedLewisham",-17.0635449693566,4.7072808451168,-3.6249260519601,0.000289275972482432
"property_typeDome",293.753037888927,85.1796037808599,3.448631184581,0.000563810834604241
"property_typeCastle",292.593310269312,85.1752908395172,3.4351900344033,0.000592526983415337
"neighbourhood_cleansedHackney",-12.6520330486211,4.24394270289587,-2.98119789411576,0.00287234935790222
