"","Estimate","Std. Error","t value","Pr(>|t|)"
"logaccommodates",0.324148479595929,0.00505168150765505,64.1664521218789,0
"logdistancecentre",-0.179352843757717,0.00450027729756035,-39.8537316478135,0
"important_words_score",0.0717429069966377,0.00148106355342566,48.4401272522699,0
"vacant_ratio",-0.143260769562372,0.00472478799064389,-30.3211000887362,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000179468435300552
"review_scores_location",0.127971472122868,0.00456834233356047,28.0126712883904,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000135307592245096
"logbathrooms",0.224655069425686,0.00830536677572073,27.0493857155623,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000334490100702692
"logbedrooms",0.247886317433682,0.00946133073111946,26.1999421094491,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000177323547545062
"neighbourhood_cleansedKensington and Chelsea",0.291843716038642,0.0174693448369787,16.7060481524684,0.0000000000000000000000000000000000000000000000000000000000000162474848839735
"excessbeds",-0.0712431429011302,0.0056252067600154,-12.6649820958644,0.00000000000000000000000000000000000102689079788799
"neighbourhood_cleansedWestminster",0.214012650566396,0.0177050079452444,12.0876901737782,0.00000000000000000000000000000000133886570072427
"neighbourhood_cleansedRichmond upon Thames",0.244277103250468,0.0205712152187047,11.8747045642863,0.0000000000000000000000000000000173784559041583
"property_typeShared room in hostel",-1.96282281530677,0.231332616359344,-8.48485114722338,0.0000000000000000220692747081449
"neighbourhood_cleansedWandsworth",0.135875488536147,0.0173797867945025,7.81801814617926,0.0000000000000054504265797723
"neighbourhood_cleansedHammersmith and Fulham",0.124675064911606,0.0176487526974034,7.06424227531667,0.00000000000163193311066268
"neighbourhood_cleansedCity of London",0.168029979799114,0.0254280077031469,6.60806704798659,0.0000000000392519297743192
"distance_to_tube",-0.000011340395538877,0.0000018277795086454,-6.20446584789738,0.000000000552296495201024
"logbeds",0.0539390691821188,0.00875446919525444,6.16131806270535,0.000000000725853199530044
"property_typeShared room in hotel",-1.35098105700228,0.238722139927727,-5.65921978334852,0.0000000152733429401955
"property_typeShared room in guesthouse",-1.34926378425275,0.259185701959313,-5.20578015705727,0.000000193799375295151
"neighbourhood_cleansedCamden",0.0915297227587468,0.0179952274138382,5.0863332067902,0.00000036611675983479
